ability,n.,能力,[əˈbɪləti],,,,,,,,,,<ability><n.><[əˈbɪləti]><能力>,,,"""ability"",","""<ability><n.><[əˈbɪləti]><能力>""",,,,"(""ability"",""<ability><n.><[əˈbɪləti]><能力>""),","(""ability"",""<ability><n.><[əˈbɪləti]><能力>""),"
aboard,adv.&prep.,在(船、车、飞机等)上,[əˈbɔːd],,,,,,,,,,<aboard><adv.&prep.><[əˈbɔːd]><在(船、车、飞机等)上>,,,"""aboard"",","""<aboard><adv.&prep.><[əˈbɔːd]><在(船、车、飞机等)上>""",,,,"(""aboard"",""<aboard><adv.&prep.><[əˈbɔːd]><在(船、车、飞机等)上>""),","(""aboard"",""<aboard><adv.&prep.><[əˈbɔːd]><在(船、车、飞机等)上>""),"
about,prep.,关于,[əˈbaʊt],,,,,,,,,,<about><prep.><[əˈbaʊt]><关于>,,,"""about"",","""<about><prep.><[əˈbaʊt]><关于>""",,,,"(""about"",""<about><prep.><[əˈbaʊt]><关于>""),","(""about"",""<about><prep.><[əˈbaʊt]><关于>""),"
above,prep.,在···上面;超越,[əˈbʌv],,,,,,,,,,<above><prep.><[əˈbʌv]><在···上面;超越>,,,"""above"",","""<above><prep.><[əˈbʌv]><在···上面;超越>""",,,,"(""above"",""<above><prep.><[əˈbʌv]><在···上面;超越>""),","(""above"",""<above><prep.><[əˈbʌv]><在···上面;超越>""),"
abroad,adv.,在国外;到国外,[əˈbrɔːd],,,,,,,,,,<abroad><adv.><[əˈbrɔːd]><在国外;到国外>,,,"""abroad"",","""<abroad><adv.><[əˈbrɔːd]><在国外;到国外>""",,,,"(""abroad"",""<abroad><adv.><[əˈbrɔːd]><在国外;到国外>""),","(""abroad"",""<abroad><adv.><[əˈbrɔːd]><在国外;到国外>""),"
absence,n.,缺席,[ˈæbsəns],,,,,,,,,,<absence><n.><[ˈæbsəns]><缺席>,,,"""absence"",","""<absence><n.><[ˈæbsəns]><缺席>""",,,,"(""absence"",""<absence><n.><[ˈæbsəns]><缺席>""),","(""absence"",""<absence><n.><[ˈæbsəns]><缺席>""),"
absent,adj.,缺席的,[ˈæbsənt],,,,,,,,,,<absent><adj.><[ˈæbsənt]><缺席的>,,,"""absent"",","""<absent><adj.><[ˈæbsənt]><缺席的>""",,,,"(""absent"",""<absent><adj.><[ˈæbsənt]><缺席的>""),","(""absent"",""<absent><adj.><[ˈæbsənt]><缺席的>""),"
absolute,adj.,完全的,[ˈæbsəluːt],,,,,,,,,,<absolute><adj.><[ˈæbsəluːt]><完全的>,,,"""absolute"",","""<absolute><adj.><[ˈæbsəluːt]><完全的>""",,,,"(""absolute"",""<absolute><adj.><[ˈæbsəluːt]><完全的>""),","(""absolute"",""<absolute><adj.><[ˈæbsəluːt]><完全的>""),"
absorb,v.,吸收,[əbˈzɔːb;əbˈsɔːb],,,,,,,,,,<absorb><v.><[əbˈzɔːb;əbˈsɔːb]><吸收>,,,"""absorb"",","""<absorb><v.><[əbˈzɔːb;əbˈsɔːb]><吸收>""",,,,"(""absorb"",""<absorb><v.><[əbˈzɔːb;əbˈsɔːb]><吸收>""),","(""absorb"",""<absorb><v.><[əbˈzɔːb;əbˈsɔːb]><吸收>""),"
abstract,adj.,抽象的,[ˈæbstrækt],,,,,,,,,,<abstract><adj.><[ˈæbstrækt]><抽象的>,,,"""abstract"",","""<abstract><adj.><[ˈæbstrækt]><抽象的>""",,,,"(""abstract"",""<abstract><adj.><[ˈæbstrækt]><抽象的>""),","(""abstract"",""<abstract><adj.><[ˈæbstrækt]><抽象的>""),"
abuse,v.,滥用,[əˈbjuːs],,,,,,,,,,<abuse><v.><[əˈbjuːs]><滥用>,,,"""abuse"",","""<abuse><v.><[əˈbjuːs]><滥用>""",,,,"(""abuse"",""<abuse><v.><[əˈbjuːs]><滥用>""),","(""abuse"",""<abuse><v.><[əˈbjuːs]><滥用>""),"
academy,n.,学术,[əˈkædəmi],,,,,,,,,,<academy><n.><[əˈkædəmi]><学术>,,,"""academy"",","""<academy><n.><[əˈkædəmi]><学术>""",,,,"(""academy"",""<academy><n.><[əˈkædəmi]><学术>""),","(""academy"",""<academy><n.><[əˈkædəmi]><学术>""),"
accent,n.,口音,[ˈæksent;ˈæksənt],,,,,,,,,,<accent><n.><[ˈæksent;ˈæksənt]><口音>,,,"""accent"",","""<accent><n.><[ˈæksent;ˈæksənt]><口音>""",,,,"(""accent"",""<accent><n.><[ˈæksent;ˈæksənt]><口音>""),","(""accent"",""<accent><n.><[ˈæksent;ˈæksənt]><口音>""),"
accept,v.,接受,[əkˈsept],,,,,,,,,,<accept><v.><[əkˈsept]><接受>,,,"""accept"",","""<accept><v.><[əkˈsept]><接受>""",,,,"(""accept"",""<accept><v.><[əkˈsept]><接受>""),","(""accept"",""<accept><v.><[əkˈsept]><接受>""),"
access,n.,通道,[ˈækses],,,,,,,,,,<access><n.><[ˈækses]><通道>,,,"""access"",","""<access><n.><[ˈækses]><通道>""",,,,"(""access"",""<access><n.><[ˈækses]><通道>""),","(""access"",""<access><n.><[ˈækses]><通道>""),"
accident,n.,事件,[ˈæksɪdənt],,,,,,,,,,<accident><n.><[ˈæksɪdənt]><事件>,,,"""accident"",","""<accident><n.><[ˈæksɪdənt]><事件>""",,,,"(""accident"",""<accident><n.><[ˈæksɪdənt]><事件>""),","(""accident"",""<accident><n.><[ˈæksɪdənt]><事件>""),"
according,adv.,根据;依照,[ə'kɔːdɪŋ],,,,,,,,,,<according><adv.><[ə'kɔːdɪŋ]><根据;依照>,,,"""according"",","""<according><adv.><[ə'kɔːdɪŋ]><根据;依照>""",,,,"(""according"",""<according><adv.><[ə'kɔːdɪŋ]><根据;依照>""),","(""according"",""<according><adv.><[ə'kɔːdɪŋ]><根据;依照>""),"
account,n.,账户,[əˈkaʊnt],,,,,,,,,,<account><n.><[əˈkaʊnt]><账户>,,,"""account"",","""<account><n.><[əˈkaʊnt]><账户>""",,,,"(""account"",""<account><n.><[əˈkaʊnt]><账户>""),","(""account"",""<account><n.><[əˈkaʊnt]><账户>""),"
