ability,n.,能力,[əˈbɪləti],,,,,
aboard,adv.&prep.,在(船、车、飞机等)上,[əˈbɔːd],,,,,
about,prep.,关于,[əˈbaʊt],,,,,
above,prep.,在···上面;超越,[əˈbʌv],,,,,
abroad,adv.,在国外;到国外,[əˈbrɔːd],,,,,
absence,n.,缺席,[ˈæbsəns],,,,,
absent,adj.,缺席的,[ˈæbsənt],,,,,
absolute,adj.,完全的,[ˈæbsəluːt],,,,,
absorb,v.,吸收,[əbˈzɔːb;əbˈsɔːb],,,,,
abstract,adj.,抽象的,[ˈæbstrækt],,,,,
abuse,v.,滥用,[əˈbjuːs],,,,,
academy,n.,学术,[əˈkædəmi],,,,,
accent,n.,口音,[ˈæksent;ˈæksənt],,,,,
accept,v.,接受,[əkˈsept],,,,,
access,n.,通道,[ˈækses],,,,,
accident,n.,事件,[ˈæksɪdənt],,,,,
according,adv.,根据;依照,[ə'kɔːdɪŋ],,,,,
account,n.,账户,[əˈkaʊnt],,,,,
accurate,adj.,准确的,[ˈækjərət],,,,,
accuse,v.,控告,[əˈkjuːz],,,,,
achieve,v.,"达到,实现",[əˈtʃiːv],,,,,
achievement,n.,成绩,[əˈtʃiːvmənt],,,,,
acre,n.,英亩,[ˈeɪkə(r)],,,,,
across,prep.,通过,[əˈkrɒs],,,,,
act,n.&v.,行动,[ækt],,,,,
action,n.,行为,[ˈækʃn],,,,,
active,adj.,积极的,[ˈæktɪv],,,,,
activity,n.,活动,[ækˈtɪvəti],,,,,
actor,n.,男演员,[ˈæktə(r)],,,,,
actress,n.,女演员,[ˈæktrəs],,,,,
actual,adj.,实际上的,[ˈæktʃuəl],,,,,
adapt,v.,使适应;改编,[əˈdæpt],,,,,
add,v.,增加,[æd],,,,,
addition,n.,增加,[əˈdɪʃn],,,,,
address,n.,地址,[əˈdres],,,,,
adjective,n.,形容词,[ˈædʒɪktɪv],,,,,
adjust,v.,"调整,校正",[əˈdʒʌst],,,,,
admire,v.,赞赏;钦佩;羡慕,[ədˈmaɪə(r)],,,,,
admission,n.,许可,[ədˈmɪʃn],,,,,
admit,v.,允许;承认,[ədˈmɪt],,,,,
adopt,v.,采纳;收养,[əˈdɒpt],,,,,
adult,n.,成年人,[ˈædʌlt;əˈdʌlt],,,,,
advance,v.&n.,(使)前进;促进;提高,[ədˈvɑːns],,,,,
advanced,adj.,发达的;高级的,[ədˈvɑːnst],,,,,
advantage,n.,优点,[ədˈvɑːntɪdʒ],,,,,
adventure,n.,冒险,[ədˈventʃə(r)],,,,,
adverb,n.,副词,[ˈædvɜːb],,,,,
advertisement,n.,广告,[ədˈvɜːtɪsmənt],,,,,
advice,n.,建议,[ədˈvaɪs],,,,,
advise,v.,建议,[ədˈvaɪz],,,,,
affair,n.,事情,[əˈfeə(r)],,,,,
affect,v.,影响,[əˈfekt],,,,,
afford,v.,负担得起,[əˈfɔːd],,,,,
afraid,adj.,担心的,[əˈfreɪd],,,,,
after,conj.&prep.,在···之后,[ˈɑːftə(r)],,,,,
afternoon,n.,下午,[ˌɑːftəˈnuːn],,,,,
afterward,adv.,"然后,后来的",[ˈɑːftə(r)wə(r)d],,,,,
afterwards,adv.,"然后,后来的",[ˈɑːftəwədz],,,,,
again,adv.,又一次,[əˈɡen;əˈɡeɪn],,,,,
against,prep.,"相反,逆着;反对,反抗",[əˈɡenst;əˈɡeɪnst],,,,,
age,n.,年龄,[eɪdʒ],,,,,
agent,n.,代理人,[ˈeɪdʒənt],,,,,
ago,adv.,之前,[əˈɡəʊ],,,,,
agree,v.,同意,[əˈɡriː],,,,,
agreement,n.,同意,[əˈɡriːmənt],,,,,
agriculture,n.,农业,[ˈæɡrɪkʌltʃə(r)],,,,,
ahead,adv.,"向前;提前,预先",[əˈhed],,,,,
aid,n.&v.,帮助,[eɪd],,,,,
aim,n.&v.,目标;瞄准,[eɪm],,,,,
air,n.,空气,[eə(r)],,,,,
aircraft,n.,飞行器,[ˈeəkrɑːft],,,,,
airplane,n.,飞机,[ˈeəpleɪn],,,,,
airport,n.,飞机场,[ˈeəpɔːt],,,,,
